Ac,All,As,At,Ba,Be,C,Cf,Cif,Cnf,Co,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,D,Dr,Ds,Event Code,Match Level,Match Number,Robot,Scouter,Ss,Team Number,Wd,Al,Au,Cn,Tl,Tu
N,N,[54],Y,N,N,2,N,g,a,,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,25,b2,am,"[65,52,51,53]",8013,N,0,0,2,0,1
Y,N,[29],N,N,Y,1,N,g,a,,,,,,,,,,,,,,,,N,n,a,2022NHGRS,qm,3,r1,RS,,8013,N,0,0,3,1,2
Y,Y,[54],N,N,Y,2,N,g,a,effective shooting,,,,,,,,,,,,,,,N,a,v,2022NHGRS,qm,18,r2,MM,"[19,54,17,20,29]",8013,N,0,1,2,2,4
Y,Y,[],Y,N,N,2,N,g,a,Jack of all trades but master of none,,,,,,,,,,,,,,,N,x,a,2022WK0,qm,8,r3,DC,,8013,Y,0,1,1,0,1
N,,[29],Y,,,f,,g,,,,,,,,,,,,,,,,,,,,2022WK0,qm,5,b2,am,"[29,29,29]",8046,N,0,0,,6,0
N,N,[54],N,Y,N,2,N,g,a,,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,22,b3,ps,"[29,54,56]",8046,N,0,0,1,3,0
Y,N,[29],N,N,N,x,N,t,a,,,,,,,,,,,,,,,,N,n,n,2022NHGRS,qm,26,r1,RS,[54],8708,N,0,0,1,0,1
N,N,[42],N,N,N,x,N,g,a,,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,19,r2,MM,"[53,28]",8708,N,0,2,2,1,0
Y,Y,[56],N,N,N,2,N,g,v,,,,,,,,,,,,,,,,N,a,v,2022NHGRS,qm,24,b1,cf,,8724,N,0,2,3,4,3
N,N,[31],Y,N,N,f,N,,a,,,,,,,,,,,,,,,,Y,a,v,2022NHGRS,qm,18,b2,jm,[31],8724,N,0,2,0,0,5
Y,N,[42],Y,N,N,1,N,g,v,,,,,,,,,,,,,,,,N,a,v,2022NHGRS,qm,12,r1,AM,"[54,54,56,41,41,29,41]",8724,N,0,1,3,0,5
Y,N,[42],Y,N,N,2,N,g,a,accurate but lost connection,,,,,,,,,,,,,,,Y,a,v,2022NHGRS,qm,28,r2,MM,"[54,42,42]",8724,Y,0,2,4,4,3
N,N,[29],N,N,N,x,N,x,n,,,,,,,,,,,,,,,,N,n,n,2022NHGRS,qm,31,r1,AM,,5491,N,0,0,0,0,0
N,N,[29],N,N,N,x,N,,a,,,,,,,,,,,,,,,,N,x,a,2022WK0,qm,31,r3,jm,[52],2262,N,0,0,0,0,0
N,N,[54],Y,N,N,1,N,b,n,could climb,,,,,,,,,,,,,,,N,x,a,2022NHGRS,qm,31,r2,DC,[59],1247,N,1,0,0,0,0
N,N,[44],Y,N,N,2,N,g,v,,,,,,,,,,,,,,,,N,a,a,2022NHGRS,qm,31,b1,BM,,1512,N,0,0,0,0,0
N,N,[32],Y,N,N,x,N,g,a,,,,,,,,,,,,,,,,N,a,v,2022NHGRS,qm,31,b3,ps,[54],8708,N,0,0,1,0,0
N,N,[29],Y,N,N,x,N,g,a,,,,,,,,,,,,,,,,N,a,n,2022NHGRS,qm,31,b2,am,,811,N,0,0,1,0,0
N,N,[54],N,N,N,2,N,g,a,,,,,,,,,,,,,,,,N,a,a,2022WK0,qm,32,r3,jm,"[44,54]",5902,N,0,0,2,2,0
N,N,[43],Y,N,N,x,N,x,a,,,,,,,,,,,,,,,,N,a,v,2022NHGRS,qm,32,b3,ps,,4987,N,0,0,1,0,0
